Country name,Regional indicator,Ladder score,lLadder score ,upperwhisker,lowerwhisker,Log GDP per capita,Social support,lSocial support,Healthy life expectancy,lHealthy life expectancy,Freedom to make life choices,lFreedom to make life choices,Generosity,lGenerosity,Perceptions of corruption,lPerceptions of corruption,Dystopia + residual,Cluster
Jordan,Middle East and North Africa,4.186,1.431745624,4.306,4.066,1.262,0.983,-0.017146159,0.594,-0.52087596,0.593,0.465619031,0.059,-2.830217835,0.189,0.173112618,0.504,1
India,South Asia,4.054,1.399704048,4.123,3.985,1.166,0.653,-0.42617815,0.417,-0.874669057,0.767,0.569283193,0.174,-1.74869998,0.122,0.115112807,0.756,1
Egypt,Middle East and North Africa,3.977,1.380527766,4.066,3.887,1.37,0.996,-0.004008021,0.488,-0.717439873,0.49,0.39877612,0.025,-3.688879454,0.259,0.230317755,0.349,1
Bangladesh,South Asia,3.886,1.357380351,3.994,3.778,1.122,0.249,-1.390302383,0.513,-0.667479434,0.775,0.573800423,0.14,-1.966112856,0.167,0.154436353,0.919,1
Ethiopia,Sub-Saharan Africa,3.861,1.350926217,3.997,3.725,0.792,0.915,-0.088831214,0.42,-0.867500568,0.441,0.365337317,0.27,-1.30933332,0.101,0.096218858,0.923,1
Tanzania,Sub-Saharan Africa,3.781,1.329988525,3.917,3.644,0.82,0.706,-0.348140041,0.38,-0.967584026,0.709,0.535908404,0.191,-1.655481851,0.257,0.22872793,0.717,1
Comoros,Sub-Saharan Africa,3.566,1.271444519,3.754,3.378,0.896,0.328,-1.114741671,0.37,-0.994252273,0.172,0.158711691,0.128,-2.055725015,0.16,0.148420005,1.512,1
Yemen,Middle East and North Africa,3.561,1.270041404,3.714,3.408,0.671,1.281,0.247641023,0.293,-1.22758267,0.362,0.308954208,0.08,-2.525728644,0.113,0.107059072,0.76,1
Zambia,Sub-Saharan Africa,3.502,1.253334234,3.636,3.368,0.899,0.809,-0.211956362,0.264,-1.331806176,0.727,0.546385799,0.168,-1.7837913,0.109,0.103458708,0.526,1
Eswatini,Sub-Saharan Africa,3.502,1.253334234,3.673,3.331,1.255,0.925,-0.077961541,0.176,-1.737271284,0.284,0.249980205,0.059,-2.830217835,0.116,0.109750864,0.686,1
Malawi,Sub-Saharan Africa,3.421,1.229932906,3.561,3.281,0.617,0.41,-0.891598119,0.349,-1.052683357,0.571,0.451712359,0.135,-2.002480501,0.136,0.12751332,1.203,1
Botswana,Sub-Saharan Africa,3.383,1.21876289,3.558,3.209,1.445,0.969,-0.031490667,0.241,-1.422958345,0.567,0.449162963,0.014,-4.268697949,0.082,0.07881118,0.066,1
Zimbabwe,Sub-Saharan Africa,3.341,1.206270163,3.457,3.226,0.748,0.85,-0.162518929,0.232,-1.461017907,0.487,0.396760667,0.096,-2.343407088,0.131,0.123102197,0.797,1
